m2,state,rooms,price,status,adress,long,lat,price_m2
281,construidos , 4 recs. ,8500000,Casa en venta ," Lopez Cotilla , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1683794,19.3728098,30249.110320284697
423,construidos ,,17000000,Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,40189.125295508275
389,construidos , 5 recs. ,11000000,Casa en venta ," Tajin 20 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15237650000002,19.4029703,28277.634961439588
258,construidos , 4 recs. ,11400000,Casa en venta ," Porfirio Díaz 156 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1719516,19.3819266,44186.04651162791
655,construidos , 6 recs. ,37000000,Casa en venta ," San Lorenzo 824 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16643559999999,19.3731378,56488.54961832061
298,construidos , 5 recs. ,6299000,Casa en venta ," Juan Escutia 12 , Américas Unidas , Benito Juárez , Distrito Federal ",-99.1415298,19.3866637,21137.58389261745
140,construidos , 2 recs. ,6000000,Casa en venta ," Av. Primero de Mayo 228 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1875027,19.3876632,42857.142857142855
187,construidos , 4 recs. ,6200000,Casa en venta ," MONROVIA 0 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1524967,19.3612207,33155.08021390374
333,construidos , 5 recs. ,16000000,Casa en venta ," Nicolas San Juan 444 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1609453,19.3948464,48048.04804804805
200,construidos , 2 recs. ,7500000,Casa en venta ," quebrada 160 , Colonia Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1482746,19.4000435,37500.0
215,construidos , 4 recs. ,8300000,Casa en venta ," Zempoala , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1485469,19.3924891,38604.651162790695
290,construidos , 4 recs. ,12650000,Casa en venta ," General Rincón , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal ",-99.1560246,19.3608888,43620.68965517241
130,construidos , 3 recs. ,8000000,Casa en venta ," Calle 20 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1876935,19.3865974,61538.46153846154
157,construidos , 3 recs. ,7700504,Casa en venta ," Alamos , Benito Juárez , Distrito Federal ",-99.1414643,19.399121,49047.796178343946
372,construidos , 3 recs. ,14500000,Casa en venta ," Del Valle Centro , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.379715100000002,38978.49462365591
240,construidos , 3 recs. ,10000000,Casa en venta ," Ohio null , Nápoles , Benito Juárez , Distrito Federal ",-99.1745978,19.393664,41666.666666666664
178,construidos , 3 recs. ,6900000,Casa en venta ," Eugenia , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1657416,19.3870509,38764.04494382023
398,construidos , 9 recs. ,24300000,Casa en venta ," Santa Catalina , Insurgentes San Borja , Benito Juárez , Distrito Federal ",-99.1742011,19.3835974,61055.27638190955
158,construidos , 3 recs. ,7400000,Casa en venta ," Luz Saviñón , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1598681,19.3912607,46835.443037974685
244,construidos , 2 recs. ,8400000,Casa en venta ," Patricio Sanz , Benito Juárez , Distrito Federal ",-99.17268370000001,19.381808300000003,34426.229508196724
266,construidos , 3 recs. ,7900000,Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18575200000001,19.367423499999997,29699.248120300752
