,Unnamed: 0,m2,State,Rooms,Price,Status,Adress,long,lat
0,0,178,construidos , 3 recs. ,"5,700,000",Casa en venta ," Antillas 411 , Portales Norte , Benito Juárez , Distrito Federal ",-99.1428435,19.3675573
1,1,281,construidos , 4 recs. ,"8,500,000",Casa en venta ," Lopez Cotilla , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.16837939999999,19.3728098
2,2,188,construidos , 3 recs. ,"6,950,000",Casa en venta ," ANAXAGORAS 0 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1573808,19.3895021
3,3,423,construidos ,,"17,000,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
4,4,488,construidos , 6 recs. ,"11,495,000",Casa en venta ," Xochicalco , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1541515,19.3904514
5,5,258,construidos , 4 recs. ,"11,400,000",Casa en venta ," Porfirio Díaz 156 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1719516,19.3819266
6,6,330,construidos , 4 recs. ,"6,325,000",Casa en venta ," necaxa , Portales Norte , Benito Juárez , Distrito Federal ",-99.1488213,19.3717563
7,7,389,construidos , 5 recs. ,"11,000,000",Casa en venta ," Tajin 20 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15237650000002,19.4029703
8,8,286,construidos , 5 recs. ,"11,350,000",Casa en venta ," Providencia , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.1698538,19.3875083
9,9,230,construidos , 4 recs. ,"9,600,000",Casa en venta ," Augusto Rodín , Extremadura Insurgentes , Benito Juárez , Distrito Federal ",-99.1823596,19.3773211
10,10,300,construidos , 4 recs. ,"12,500,000",Casa en venta ," Enrique Rebsamen 00 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1597305,19.3831131
11,11,200,construidos , 2 recs. ,"7,500,000",Casa en venta ," quebrada , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.14716489999999,19.3997913
12,12,655,construidos , 6 recs. ,"37,000,000",Casa en venta ," San Lorenzo 824 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1664356,19.3731378
13,13,298,construidos , 5 recs. ,"6,299,000",Casa en venta ," Juan Escutia 12 , Américas Unidas , Benito Juárez , Distrito Federal ",-99.1415298,19.3866637
14,14,250,construidos , 3 recs. ,"12,500,000",Casa en venta ," AMORES 00 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1661809,19.3848536
15,15,140,construidos , 2 recs. ,"6,000,000",Casa en venta ," Av. Primero de Mayo 228 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1875027,19.3876632
16,16,293,construidos , 3 recs. ,"17,000,000",Casa en venta ," Wisconsin 0000 , Ciudad De Los Deportes , Benito Juárez , Distrito Federal ",-99.1776976,19.3856796
17,17,187,construidos , 4 recs. ,"6,200,000",Casa en venta ," MONROVIA 0 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1524967,19.3612207
18,18,333,construidos , 5 recs. ,"16,000,000",Casa en venta ," Nicolas San Juan 444 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1609453,19.3948464
19,19,171,construidos , 3 recs. ,"8,863,068",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
20,20,186,construidos , 3 recs. ,"9,346,486",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
21,21,746,construidos , 3 recs. ,"22,900,000",Casa en venta ," LORENZO RODRIGUEZ , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.185493,19.3684141
22,22,253,construidos , 4 recs. ,"13,000,000",Casa en venta ," Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1580693,19.3923907
