attributes,price,status,adress
 260 m² construidos | 3 recs. ,"6,300,000",Casa en venta , Necaxa - Portales Sur - Benito Juárez - Distrito Federal 
 137 m² construidos | 3 recs. ,"3,999,999",Casa en venta ," 912, Isabel la Católica - Miguel Alemán - Benito Juárez - Distrito Federal "
 155 m² construidos | 3 recs. ,"5,950,000",Casa en venta , SANTA CRUZ ATOYAC 00 - Santa Cruz Atoyac - Benito Juárez - Distrito Federal 
 178 m² construidos | 3 recs. ,"5,700,000",Casa en venta , Antillas 411 - Portales Norte - Benito Juárez - Distrito Federal 
 330 m² construidos | 4 recs. ,"6,325,000",Casa en venta , necaxa - Portales Norte - Benito Juárez - Distrito Federal 
 281 m² construidos | 4 recs. ,"8,500,000",Casa en venta , Lopez Cotilla - Del Valle Sur - Benito Juárez - Distrito Federal 
 188 m² construidos | 3 recs. ,"6,950,000",Casa en venta , ANAXAGORAS 0 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 200 m² construidos | 2 recs. ,"7,500,000",Casa en venta , quebrada - Narvarte Oriente - Benito Juárez - Distrito Federal 
 423 m² construidos ,"17,000,000",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 488 m² construidos | 6 recs. ,"11,495,000",Casa en venta , Xochicalco - Narvarte Poniente - Benito Juárez - Distrito Federal 
 258 m² construidos | 4 recs. ,"11,400,000",Casa en venta , Porfirio Díaz 156 - Del Valle Centro - Benito Juárez - Distrito Federal 
 389 m² construidos | 5 recs. ,"11,000,000",Casa en venta , Tajin 20 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 230 m² construidos | 4 recs. ,"9,600,000",Casa en venta , Augusto Rodín - Extremadura Insurgentes - Benito Juárez - Distrito Federal 
 300 m² construidos | 4 recs. ,"12,500,000",Casa en venta , Enrique Rebsamen 00 - Del Valle Centro - Benito Juárez - Distrito Federal 
 655 m² construidos | 6 recs. ,"37,000,000",Casa en venta , San Lorenzo 824 - Del Valle Centro - Benito Juárez - Distrito Federal 
 298 m² construidos | 5 recs. ,"6,299,000",Casa en venta , Juan Escutia 12 - Américas Unidas - Benito Juárez - Distrito Federal 
 250 m² construidos | 3 recs. ,"12,500,000",Casa en venta , AMORES 00 - Colonia Del Valle - Benito Juárez - Distrito Federal 
 140 m² construidos | 2 recs. ,"6,000,000",Casa en venta , Av. Primero de Mayo 228 - San Pedro De Los Pinos - Benito Juárez - Distrito Federal 
 187 m² construidos | 4 recs. ,"6,200,000",Casa en venta , MONROVIA 0 - Portales Sur - Benito Juárez - Distrito Federal 
 124 m² construidos | 3 recs. ,"3,700,000",Casa en venta , Rafael Solana Verduguillo - Independencia - Benito Juárez - Distrito Federal 
 333 m² construidos | 5 recs. ,"16,000,000",Casa en venta , Nicolas San Juan 444 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 191 m² construidos | 4 recs. ,"5,550,000",Casa en venta , hilario Perez de Leon - Narvarte - Benito Juárez - Distrito Federal 
 293 m² construidos | 4 recs. ,"9,900,000",Casa en venta , Uxmal 364 - Narvarte Poniente - Benito Juárez - Distrito Federal 
 247 m² construidos | 4 recs. ,"8,300,000",Casa en venta , Indiana 78 - Nápoles - Benito Juárez - Distrito Federal 
 171 m² construidos | 3 recs. ,"8,863,068",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 186 m² construidos | 3 recs. ,"9,346,486",Casa en venta , Del Valle Centro - Benito Juárez - Distrito Federal 
 191 m² construidos | 4 recs. ,"5,550,000",Casa en venta , Hilario Perez de Leon 67 - Américas Unidas - Benito Juárez - Distrito Federal 
 253 m² construidos | 4 recs. ,"13,000,000",Casa en venta , Narvarte Poniente - Benito Juárez - Distrito Federal 
 130 m² construidos | 3 recs. ,"6,000,000",Casa en venta , La Coruña - Alamos - Benito Juárez - Distrito Federal 
 124 m² construidos | 3 recs. ,"5,900,000",Casa en venta , La Coruña - Alamos - Benito Juárez - Distrito Federal 
 124 m² construidos | 3 recs. ,"5,899,999",Casa en venta , La Coruña - Alamos - Benito Juárez - Distrito Federal 
 124 m² construidos | 3 recs. ,"5,899,900",Casa en venta , La Coruña - Alamos - Benito Juárez - Distrito Federal 
