,m2,state,rooms,price,status,adress
0,281,construidos , 4 recs. ,"8,500,000",Casa en venta ," Lopez Cotilla , Del Valle Sur , Benito Juárez , Distrito Federal "
1,423,construidos ,,"17,000,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal "
2,488,construidos , 6 recs. ,"11,495,000",Casa en venta ," Xochicalco , Narvarte Poniente , Benito Juárez , Distrito Federal "
3,389,construidos , 5 recs. ,"11,000,000",Casa en venta ," Tajin 20 , Narvarte Poniente , Benito Juárez , Distrito Federal "
4,258,construidos , 4 recs. ,"11,400,000",Casa en venta ," Porfirio Díaz 156 , Del Valle Centro , Benito Juárez , Distrito Federal "
5,230,construidos , 4 recs. ,"9,600,000",Casa en venta ," Augusto Rodín , Extremadura Insurgentes , Benito Juárez , Distrito Federal "
6,300,construidos , 4 recs. ,"12,500,000",Casa en venta ," Enrique Rebsamen 00 , Del Valle Centro , Benito Juárez , Distrito Federal "
7,655,construidos , 6 recs. ,"37,000,000",Casa en venta ," San Lorenzo 824 , Del Valle Centro , Benito Juárez , Distrito Federal "
8,298,construidos , 5 recs. ,"6,299,000",Casa en venta ," Juan Escutia 12 , Américas Unidas , Benito Juárez , Distrito Federal "
9,250,construidos , 3 recs. ,"12,500,000",Casa en venta ," AMORES 00 , Colonia Del Valle , Benito Juárez , Distrito Federal "
10,140,construidos , 2 recs. ,"6,000,000",Casa en venta ," Av. Primero de Mayo 228 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
11,187,construidos , 4 recs. ,"6,200,000",Casa en venta ," MONROVIA 0 , Portales Sur , Benito Juárez , Distrito Federal "
12,333,construidos , 5 recs. ,"16,000,000",Casa en venta ," Nicolas San Juan 444 , Narvarte Poniente , Benito Juárez , Distrito Federal "
13,200,construidos , 2 recs. ,"7,500,000",Casa en venta ," quebrada 160 , Colonia Narvarte Oriente , Benito Juárez , Distrito Federal "
14,215,construidos , 4 recs. ,"8,300,000",Casa en venta ," Zempoala , Narvarte Oriente , Benito Juárez , Distrito Federal "
15,385,construidos ,,"27,000,000",Casa en venta ," Matías Romero , Del Valle Centro , Benito Juárez , Distrito Federal "
16,307,construidos , 5 recs. ,"10,700,000",Casa en venta ," Empresa , San Juan , Benito Juárez , Distrito Federal "
17,124,construidos , 3 recs. ,"3,700,000",Casa en venta ," Rafael Solana Verduguillo , Independencia , Benito Juárez , Distrito Federal "
18,246,construidos , 3 recs. ,"11,950,000",Casa en venta ," Petén , Narvarte , Benito Juárez , Distrito Federal "
19,290,construidos , 4 recs. ,"12,650,000",Casa en venta ," General Rincón , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal "
20,290,construidos , 4 recs. ,"13,200,000",Casa en venta ," Gral. Pedro María Anaya , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal "
21,130,construidos , 3 recs. ,"8,000,000",Casa en venta ," Calle 20 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal "
22,230,construidos , 4 recs. ,"8,500,000",Casa en venta ," Pestalozzi , Narvarte Poniente , Benito Juárez , Distrito Federal "
23,227,construidos , 3 recs. ,"9,500,000",Casa en venta ," Aniceto Ortega , Del Valle Sur , Benito Juárez , Distrito Federal "
24,111,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
25,150,construidos , 3 recs. ,"6,150,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
26,155,construidos , 3 recs. ,"6,500,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
27,155,construidos , 3 recs. ,"6,700,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
28,148,construidos , 3 recs. ,"6,050,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal "
29,194,construidos , 3 recs. ,"8,400,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal "
30,210,construidos , 5 recs. ,"14,000,000",Casa en venta ," Manuel López Cotilla , Del Valle Centro , Benito Juárez , Distrito Federal "
31,157,construidos , 3 recs. ,"7,700,504",Casa en venta ," Alamos , Benito Juárez , Distrito Federal "
32,199,construidos , 3 recs. ,"8,885,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal "
33,199,construidos , 3 recs. ,"8,240,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal "
34,209,construidos , 3 recs. ,"10,400,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal "
35,230,construidos ,,"15,000,000",Casa en venta ," Oregon , Benito Juárez , Distrito Federal "
