id,price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
01400010011010,38700.17815144436,2010.0,606.0,22.0,59.0,0.99,14.49,14.11,327.0,154.0,440.0,289.0,,,,,2.5,156.0,163.0,182.0,163.0,3.630363036303631,9.735973597359736,47.094801223241596,,,,,56.401384083044974,62.975778546712796,56.401384083044974
01400010011010,38700.17815144436,2020.0,733.0,15.0,110.0,1.06,14.91,14.63,497.0,235.0,619.0,338.0,311.0,302.0,275.0,5.0,2.36,217.0,224.0,279.0,297.0,2.046384720327422,15.006821282401091,47.283702213279675,92.01183431952663,89.3491124260355,81.36094674556213,1.4792899408284024,66.27218934911244,82.54437869822485,87.8698224852071
01400010011013,28922.651933701658,2010.0,298.0,7.0,43.0,1.16,13.56,13.09,159.0,73.0,219.0,149.0,,,,,2.38,66.0,74.0,85.0,78.0,2.348993288590604,14.429530201342285,45.911949685534594,,,,,49.664429530201346,57.04697986577181,52.34899328859061
01400010011013,28922.651933701658,2020.0,300.0,4.0,71.0,0.99,14.25,14.15,195.0,96.0,254.0,149.0,127.0,134.0,112.0,,2.36,70.0,70.0,110.0,112.0,1.3333333333333337,23.66666666666667,49.230769230769226,85.23489932885906,89.93288590604027,75.16778523489933,,46.97986577181208,73.8255033557047,75.16778523489933
01400010011014,37155.963302752294,2010.0,263.0,16.0,25.0,1.31,13.62,13.04,125.0,57.0,183.0,125.0,,,,,2.69,55.0,54.0,65.0,59.0,6.083650190114068,9.505703422053232,45.6,,,,,43.2,52.0,47.2
01400010011014,37155.963302752294,2020.0,308.0,7.0,42.0,1.2,13.66,13.68,178.0,88.0,246.0,124.0,108.0,99.0,83.0,,2.85,83.0,69.0,94.0,95.0,2.272727272727273,13.636363636363635,49.43820224719101,87.09677419354837,79.83870967741935,66.93548387096774,,55.645161290322584,75.80645161290323,76.61290322580646
01400010026013,28277.634961439588,2010.0,412.0,13.0,38.0,1.11,13.95,13.57,220.0,108.0,267.0,184.0,,,,,2.5,79.0,77.0,115.0,101.0,3.155339805825242,9.223300970873787,49.09090909090909,,,,,41.84782608695652,62.5,54.89130434782609
01400010026013,28277.634961439588,2020.0,487.0,7.0,79.0,0.92,15.17,15.01,329.0,153.0,369.0,257.0,219.0,256.0,218.0,20.0,2.22,124.0,98.0,177.0,202.0,1.4373716632443532,16.2217659137577,46.50455927051672,85.21400778210115,99.61089494163423,84.8249027237354,7.782101167315174,38.13229571984436,68.8715953307393,78.59922178988327
01400010030008,28092.78350515464,2010.0,262.0,4.0,52.0,1.6,11.96,11.39,127.0,63.0,199.0,94.0,,,,,3.01,52.0,40.0,48.0,44.0,1.5267175572519085,19.84732824427481,49.60629921259843,,,,,42.5531914893617,51.06382978723404,46.80851063829788
01400010030008,28092.78350515464,2020.0,214.0,7.0,49.0,1.38,12.89,12.25,127.0,60.0,175.0,67.0,61.0,67.0,61.0,,3.51,42.0,31.0,46.0,55.0,3.2710280373831773,22.897196261682247,47.24409448818897,91.04477611940298,100.0,91.04477611940298,,46.2686567164179,68.65671641791045,82.08955223880598
01400010030020,56640.625,2010.0,261.0,10.0,45.0,1.19,12.83,12.99,126.0,68.0,191.0,104.0,,,,,2.93,49.0,58.0,60.0,55.0,3.8314176245210727,17.24137931034483,53.96825396825397,,,,,55.769230769230774,57.69230769230769,52.884615384615394
01400010030020,56640.625,2020.0,183.0,,44.0,1.03,14.7,14.64,140.0,68.0,140.0,103.0,93.0,99.0,89.0,,1.97,45.0,54.0,68.0,79.0,,24.043715846994534,48.57142857142857,90.29126213592234,96.11650485436894,86.40776699029125,,52.42718446601942,66.01941747572816,76.6990291262136
01400010045001,34260.85526315789,2010.0,619.0,14.0,93.0,1.37,13.87,13.7,250.0,131.0,427.0,250.0,,,,,2.74,138.0,144.0,153.0,143.0,2.2617124394184165,15.024232633279484,52.40000000000001,,,,,57.6,61.2,57.2
01400010045001,34260.85526315789,2020.0,882.0,19.0,162.0,1.02,15.37,15.0,577.0,284.0,728.0,445.0,368.0,384.0,307.0,16.0,2.4,271.0,285.0,338.0,354.0,2.1541950113378685,18.367346938775512,49.220103986135186,82.69662921348312,86.29213483146067,68.98876404494382,3.5955056179775284,64.04494382022472,75.95505617977528,79.5505617977528
01400010045006,45405.40540540541,2010.0,461.0,5.0,47.0,1.12,14.28,13.65,171.0,86.0,237.0,180.0,,,,,2.85,88.0,89.0,95.0,95.0,1.084598698481562,10.19522776572668,50.29239766081871,,,,,49.444444444444436,52.77777777777778,52.77777777777778
01400010045006,45405.40540540541,2020.0,331.0,5.0,68.0,1.09,15.51,14.78,201.0,102.0,266.0,161.0,129.0,161.0,129.0,9.0,2.57,125.0,109.0,118.0,123.0,1.5105740181268883,20.543806646525677,50.746268656716424,80.12422360248445,100.0,80.12422360248445,5.590062111801243,67.70186335403726,73.29192546583852,76.39751552795029
0140001005A001,42788.57346780977,2010.0,712.0,16.0,112.0,1.19,14.19,13.69,387.0,212.0,493.0,367.0,,,,,2.29,169.0,184.0,223.0,200.0,2.247191011235955,15.730337078651687,54.78036175710594,,,,,50.136239782016354,60.76294277929154,54.49591280653953
0140001005A001,42788.57346780977,2020.0,943.0,35.0,159.0,0.97,14.95,14.54,608.0,303.0,780.0,487.0,391.0,461.0,365.0,43.0,2.41,219.0,270.0,342.0,363.0,3.711558854718982,16.861081654294807,49.83552631578947,80.28747433264888,94.66119096509242,74.94866529774127,8.829568788501025,55.44147843942506,70.2258726899384,74.53798767967145
0140001005A006,35585.585585585584,2010.0,70.0,3.0,11.0,0.87,13.21,13.21,36.0,17.0,46.0,41.0,,,,,2.0,20.0,18.0,22.0,20.0,4.285714285714286,15.714285714285715,47.22222222222222,,,,,43.90243902439025,53.65853658536586,48.78048780487804
0140001005A006,35585.585585585584,2020.0,90.0,4.0,12.0,0.98,15.89,15.41,58.0,28.0,77.0,42.0,37.0,18.0,13.0,0.0,2.43,26.0,24.0,31.0,34.0,4.4444444444444455,13.333333333333336,48.27586206896552,88.09523809523809,42.857142857142854,30.952380952380953,0.0,57.14285714285714,73.80952380952381,80.95238095238095
0140001005A016,36144.57831325301,2010.0,302.0,10.0,50.0,1.31,13.98,12.91,138.0,64.0,170.0,126.0,,,,,2.8,61.0,59.0,68.0,62.0,3.3112582781456954,16.556291390728482,46.3768115942029,,,,,46.82539682539682,53.96825396825397,49.2063492063492
0140001005A016,36144.57831325301,2020.0,284.0,4.0,59.0,1.15,14.66,13.82,180.0,81.0,215.0,126.0,113.0,96.0,83.0,0.0,2.51,74.0,73.0,96.0,106.0,1.4084507042253522,20.774647887323944,45.0,89.6825396825397,76.19047619047619,65.87301587301587,0.0,57.936507936507944,76.19047619047619,84.12698412698413
01400010079002,21282.05128205128,2010.0,271.0,8.0,44.0,1.37,13.74,13.23,140.0,65.0,163.0,112.0,,,,,2.74,78.0,58.0,71.0,66.0,2.9520295202952034,16.236162361623617,46.42857142857143,,,,,51.78571428571429,63.39285714285714,58.92857142857143
01400010079002,21282.05128205128,2020.0,289.0,5.0,71.0,1.13,14.14,14.15,175.0,86.0,197.0,114.0,107.0,112.0,105.0,,2.7,76.0,58.0,86.0,96.0,1.7301038062283738,24.567474048442907,49.14285714285714,93.85964912280701,98.24561403508771,92.10526315789473,,50.877192982456144,75.43859649122807,84.21052631578947
01400010079025,55921.05263157895,2010.0,305.0,7.0,57.0,1.12,13.37,12.87,160.0,76.0,218.0,137.0,,,,,2.5,81.0,75.0,94.0,85.0,2.295081967213114,18.688524590163933,47.5,,,,,54.74452554744526,68.61313868613139,62.04379562043797
01400010079025,55921.05263157895,2020.0,381.0,6.0,64.0,1.01,15.09,14.92,264.0,128.0,314.0,211.0,173.0,211.0,173.0,29.0,2.2,122.0,105.0,150.0,158.0,1.574803149606299,16.797900262467188,48.48484848484848,81.99052132701422,100.0,81.99052132701422,13.744075829383887,49.76303317535545,71.09004739336494,74.88151658767772
01400010098001,37500.0,2010.0,182.0,4.0,43.0,1.11,13.45,12.77,91.0,47.0,108.0,73.0,,,,,2.75,47.0,51.0,50.0,44.0,2.1978021978021984,23.626373626373624,51.64835164835166,,,,,69.86301369863014,68.49315068493149,60.273972602739725
01400010098001,37500.0,2020.0,205.0,6.0,54.0,1.05,14.56,14.17,124.0,63.0,143.0,86.0,76.0,82.0,72.0,,2.7,58.0,55.0,62.0,69.0,2.9268292682926838,26.34146341463415,50.806451612903224,88.3720930232558,95.34883720930232,83.72093023255816,,63.95348837209303,72.09302325581395,80.23255813953489
