,Unnamed: 0,m2,state,rooms,price,status,adress,long,lat
0,0,281,construidos , 4 recs. ,"8,500,000",Casa en venta ," Lopez Cotilla , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.16837939999999,19.3728098
1,1,423,construidos ,,"17,000,000",Casa en venta ," Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
2,2,488,construidos , 6 recs. ,"11,495,000",Casa en venta ," Xochicalco , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1541515,19.3904514
3,3,389,construidos , 5 recs. ,"11,000,000",Casa en venta ," Tajin 20 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15237650000002,19.4029703
4,4,258,construidos , 4 recs. ,"11,400,000",Casa en venta ," Porfirio Díaz 156 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1719516,19.3819266
5,5,230,construidos , 4 recs. ,"9,600,000",Casa en venta ," Augusto Rodín , Extremadura Insurgentes , Benito Juárez , Distrito Federal ",-99.1823596,19.3773211
6,6,300,construidos , 4 recs. ,"12,500,000",Casa en venta ," Enrique Rebsamen 00 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1597305,19.3831131
7,7,655,construidos , 6 recs. ,"37,000,000",Casa en venta ," San Lorenzo 824 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1664356,19.3731378
8,8,298,construidos , 5 recs. ,"6,299,000",Casa en venta ," Juan Escutia 12 , Américas Unidas , Benito Juárez , Distrito Federal ",-99.1415298,19.3866637
9,9,250,construidos , 3 recs. ,"12,500,000",Casa en venta ," AMORES 00 , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.1661809,19.3848536
10,10,140,construidos , 2 recs. ,"6,000,000",Casa en venta ," Av. Primero de Mayo 228 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1875027,19.3876632
11,11,187,construidos , 4 recs. ,"6,200,000",Casa en venta ," MONROVIA 0 , Portales Sur , Benito Juárez , Distrito Federal ",-99.1524967,19.3612207
12,12,333,construidos , 5 recs. ,"16,000,000",Casa en venta ," Nicolas San Juan 444 , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1609453,19.3948464
13,13,200,construidos , 2 recs. ,"7,500,000",Casa en venta ," quebrada 160 , Colonia Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1482746,19.4000435
14,14,215,construidos , 4 recs. ,"8,300,000",Casa en venta ," Zempoala , Narvarte Oriente , Benito Juárez , Distrito Federal ",-99.1485469,19.3924891
15,15,385,construidos ,,"27,000,000",Casa en venta ," Matías Romero , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16574899999999,19.3802771
16,16,307,construidos , 5 recs. ,"10,700,000",Casa en venta ," Empresa , San Juan , Benito Juárez , Distrito Federal ",-99.18321879999999,19.3754409
17,17,124,construidos , 3 recs. ,"3,700,000",Casa en venta ," Rafael Solana Verduguillo , Independencia , Benito Juárez , Distrito Federal ",-99.1461331,19.3792302
18,18,246,construidos , 3 recs. ,"11,950,000",Casa en venta ," Petén , Narvarte , Benito Juárez , Distrito Federal ",-99.15368289999999,19.3846543
19,19,290,construidos , 4 recs. ,"12,650,000",Casa en venta ," General Rincón , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal ",-99.1560246,19.3608888
20,20,290,construidos , 4 recs. ,"13,200,000",Casa en venta ," Gral. Pedro María Anaya , Gral. Pedro María Anaya , Benito Juárez , Distrito Federal ",-99.1083017,19.4856496
21,21,130,construidos , 3 recs. ,"8,000,000",Casa en venta ," Calle 20 , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.18769350000001,19.3865974
22,22,230,construidos , 4 recs. ,"8,500,000",Casa en venta ," Pestalozzi , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15873140000001,19.3897044
23,23,227,construidos , 3 recs. ,"9,500,000",Casa en venta ," Aniceto Ortega , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1667148,19.3731161
24,24,111,construidos , 3 recs. ,"6,160,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
25,25,150,construidos , 3 recs. ,"6,150,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
26,26,155,construidos , 3 recs. ,"6,500,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
27,27,155,construidos , 3 recs. ,"6,700,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
28,28,148,construidos , 3 recs. ,"6,050,000",Casa en venta ," Holbein , San Juan , Benito Juárez , Distrito Federal ",-99.1844038,19.3808483
29,29,194,construidos , 3 recs. ,"8,400,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal ",-99.1651945,19.3621285
30,30,210,construidos , 5 recs. ,"14,000,000",Casa en venta ," Manuel López Cotilla , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1657176,19.3835341
31,31,157,construidos , 3 recs. ,"7,700,504",Casa en venta ," Alamos , Benito Juárez , Distrito Federal ",-99.1414643,19.399121
32,32,199,construidos , 3 recs. ,"8,885,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal ",-99.1651945,19.3621285
33,33,199,construidos , 3 recs. ,"8,240,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal ",-99.1651945,19.3621285
34,34,209,construidos , 3 recs. ,"10,400,000",Casa en venta ," San Felipe , Xoco , Benito Juárez , Distrito Federal ",-99.1651945,19.3621285
35,35,230,construidos ,,"15,000,000",Casa en venta ," Oregon , Benito Juárez , Distrito Federal ",-99.1728122,19.3867335
36,36,167,construidos , 3 recs. ,"5,900,000",Casa en venta ," LA CORUÑA , Alamos , Benito Juárez , Distrito Federal ",-99.14062580000001,19.4019126
37,37,372,construidos , 3 recs. ,"14,500,000",Casa en venta ," Del Valle Centro , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1677132,19.3797151
38,38,240,construidos , 3 recs. ,"10,000,000",Casa en venta ," Ohio null , Nápoles , Benito Juárez , Distrito Federal ",-99.1745978,19.393664
39,39,272,construidos , 4 recs. ,"11,950,000",Casa en venta ," Kansas , Nápoles , Benito Juárez , Distrito Federal ",-99.1785228,19.3873834
40,40,596,construidos ,,"32,500,000",Casa en venta ," Yosemitte , Nápoles , Benito Juárez , Distrito Federal ",-99.1736422,19.3965487
41,41,168,construidos , 3 recs. ,"6,800,000",Casa en venta ," Heriberto Frías , Narvarte , Benito Juárez , Distrito Federal ",-99.16011069999999,19.3898793
42,42,350,construidos , 4 recs. ,"11,000,000",Casa en venta ," Av. Uno , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.1847255,19.3924253
43,43,103,construidos , 3 recs. ,"4,300,000",Casa en venta ," Luz Savignon , Colonia Del Valle , Benito Juárez , Distrito Federal ",-99.16582179999999,19.3925706
44,44,178,construidos , 3 recs. ,"6,900,000",Casa en venta ," Eugenia , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.16574159999999,19.3870509
45,45,238,construidos , 2 recs. ,"10,800,000",Casa en venta ," San Lorenzo , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.16925440000001,19.373661
46,46,452,construidos , 3 recs. ,"12,000,000",Casa en venta ," Villa De Cortes , Benito Juárez , Distrito Federal ",-99.1352383,19.3869129
47,47,584,construidos , 4 recs. ,"18,750,000",Casa en venta ," Tennessee , Nápoles , Benito Juárez , Distrito Federal ",-99.17744619999999,19.3943574
48,48,398,construidos , 9 recs. ,"24,300,000",Casa en venta ," Santa Catalina , Insurgentes San Borja , Benito Juárez , Distrito Federal ",-99.17420109999999,19.3835974
49,49,555,construidos ,,"14,300,000",Casa en venta ," Anaxagoras , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.1573808,19.3895021
50,50,362,construidos , 3 recs. ,"10,470,000",Casa en venta ," Nicolas SAN Juan , Narvarte , Benito Juárez , Distrito Federal ",-99.16114929999999,19.3926535
51,51,158,construidos , 3 recs. ,"7,400,000",Casa en venta ," Luz Saviñón , Del Valle Norte , Benito Juárez , Distrito Federal ",-99.16582179999999,19.3925706
52,52,440,construidos ,,"11,500,000",Casa en venta ," Av. Dos , San Pedro De Los Pinos , Benito Juárez , Distrito Federal ",-99.18394529999999,19.3911786
53,53,237,construidos , 4 recs. ,"9,798,000",Casa en venta ," Yacatas , Narvarte , Benito Juárez , Distrito Federal ",-99.1554661,19.3928405
54,54,325,construidos , 3 recs. ,"14,850,000",Casa en venta ," Aniceto Ortega , Benito Juárez , Distrito Federal ",-99.1667148,19.3731161
55,55,158,construidos , 3 recs. ,"7,400,000",Casa en venta ," Luz Saviñón , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1598681,19.3912607
56,56,235,construidos , 3 recs. ,"14,268,042",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
57,57,249,construidos , 3 recs. ,"15,219,666",Casa en venta ," Amores , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.1700027,19.3692955
58,58,244,construidos , 2 recs. ,"8,400,000",Casa en venta ," Patricio Sanz , Benito Juárez , Distrito Federal ",-99.1726837,19.3818083
59,59,280,construidos , 3 recs. ,"830,500",Casa en venta ," Callejón de la santísima 12 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal ",-99.1617551,19.3671142
60,60,600,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 , Nápoles , Benito Juárez , Distrito Federal ",-99.17155260000001,19.3987179
61,61,315,construidos , 3 recs. ,"11,995,100",Casa en venta ," SAN LORENZO , Del Valle Sur , Benito Juárez , Distrito Federal ",-99.16925440000001,19.373661
62,62,346,construidos , 4 recs. ,"16,000,000",Casa en venta ," Pitagoras , Narvarte Poniente , Benito Juárez , Distrito Federal ",-99.15806070000001,19.3896082
63,63,164,construidos , 3 recs. ,"1,220,000",Casa en venta ," Tiburcio Sánchez de la Barquera 110 , Merced Gómez , Benito Juárez , Distrito Federal ",-99.1899347,19.3640895
64,64,266,construidos , 3 recs. ,"7,900,000",Casa en venta ," San José Insurgentes , Benito Juárez , Distrito Federal ",-99.185752,19.3674235
65,65,318,construidos , 3 recs. ,"13,209,000",Casa en venta ," Del Valle Sur , Benito Juárez , Distrito Federal ",-99.17249939999999,19.3668017
66,66,400,construidos , 5 recs. ,"17,800,000",Casa en venta ," Patricio Sanz , Benito Juárez , Distrito Federal ",-99.1726837,19.3818083
67,67,326,de terreno ,,"15,500,000",Casa en venta ," Napoles , Nápoles , Benito Juárez , Distrito Federal ",-99.17744619999999,19.3943574
68,68,270,construidos , 4 recs. ,"1,320,000",Casa en venta ," OHIO 13 13 , Nápoles , Benito Juárez , Distrito Federal ",-99.17155260000001,19.3987179
69,69,370,construidos , 4 recs. ,"1,220,000",Casa en venta ," SAN FRANCISCO 323 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.1705032,19.3946424
70,70,293,construidos , 3 recs. ,"11,000,000",Casa en venta ," SALOME PIÑA 00 , San José Insurgentes , Benito Juárez , Distrito Federal ",-99.18664749999999,19.3681401
71,71,224,construidos , 4 recs. ,"1,180,000",Casa en venta ," JUAREZ 141 , Santa Cruz Atoyac , Benito Juárez , Distrito Federal ",-99.162774,19.3664795
72,72,260,construidos , 4 recs. ,"1,200,000",Casa en venta ," PASADENA 21 , Del Valle Centro , Benito Juárez , Distrito Federal ",-99.17290679999999,19.3898699
