id,Price_m2,tiempo,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
00500010101014,747.556350626118,2010.0,151.0,9.0,16.0,2.45,8.55,8.24,52.0,12.0,98.0,38.0,,,,,4.03,22.0,11.0,12.0,7.0,5.960264900662253,10.596026490066226,23.07692307692308,,,,,28.947368421052637,31.578947368421048,18.421052631578945
00500010101014,747.556350626118,2020.0,129.0,,18.0,2.21,8.84,8.47,61.0,22.0,88.0,38.0,38.0,38.0,38.0,0.0,3.39,13.0,10.0,7.0,20.0,,13.953488372093025,36.065573770491795,100.0,100.0,100.0,0.0,26.315789473684212,18.421052631578945,52.631578947368425
00500010101027,10822.510822510823,2010.0,4.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
00500010101027,10822.510822510823,2020.0,11.0,0.0,0.0,1.57,10.64,11.14,4.0,3.0,8.0,5.0,3.0,5.0,3.0,,3.67,,,3.0,3.0,0.0,0.0,75.0,60.0,100.0,60.0,,,60.0,60.0
00500010385016,5395.3,2010.0,90.0,,11.0,1.93,8.11,7.59,33.0,14.0,52.0,29.0,,,,,3.33,16.0,8.0,5.0,,,12.222222222222221,42.42424242424242,,,,,27.58620689655172,17.24137931034483,
00500010385016,5395.3,2020.0,89.0,,28.0,1.82,9.88,8.94,54.0,25.0,52.0,32.0,29.0,32.0,29.0,,3.07,12.0,9.0,7.0,16.0,,31.460674157303373,46.2962962962963,90.625,100.0,90.625,,28.125,21.875,50.0
0050001039A003,11394.99686716792,2010.0,153.0,,30.0,1.51,14.03,13.43,74.0,27.0,103.0,54.0,,,,,3.19,42.0,44.0,37.0,33.0,,19.607843137254907,36.48648648648648,,,,,81.48148148148148,68.51851851851852,61.111111111111114
0050001039A003,11394.99686716792,2020.0,170.0,,51.0,1.58,14.2,13.73,68.0,32.0,118.0,61.0,55.0,59.0,53.0,0.0,3.09,48.0,46.0,47.0,49.0,,30.0,47.058823529411754,90.1639344262295,96.72131147540985,86.88524590163935,0.0,75.40983606557377,77.04918032786884,80.327868852459
0050001039A007,4777.777777777777,2010.0,132.0,,32.0,1.65,14.14,13.8,59.0,24.0,111.0,46.0,,,,,3.3,38.0,34.0,34.0,28.0,,24.24242424242424,40.67796610169492,,,,,73.91304347826086,73.91304347826086,60.86956521739131
0050001039A007,4777.777777777777,2020.0,140.0,0.0,40.0,1.48,14.84,14.57,73.0,31.0,116.0,48.0,45.0,47.0,44.0,0.0,3.11,42.0,38.0,31.0,42.0,0.0,28.57142857142857,42.46575342465753,93.75,97.91666666666666,91.66666666666666,0.0,79.16666666666666,64.58333333333334,87.5
0050001039A018,9375.0,2010.0,156.0,3.0,32.0,1.49,14.14,13.22,67.0,22.0,99.0,49.0,,,,,3.48,32.0,42.0,36.0,30.0,1.9230769230769231,20.51282051282051,32.83582089552239,,,,,85.71428571428571,73.46938775510205,61.224489795918366
0050001039A018,9375.0,2020.0,156.0,4.0,45.0,1.7,14.42,13.91,72.0,26.0,104.0,55.0,49.0,54.0,48.0,,3.18,39.0,45.0,41.0,45.0,2.564102564102564,28.846153846153847,36.111111111111114,89.0909090909091,98.1818181818182,87.27272727272727,,81.81818181818183,74.54545454545455,81.81818181818183
00500010402003,11433.090384401938,2010.0,257.0,8.0,28.0,2.25,9.6,9.02,83.0,31.0,196.0,82.0,,,,,3.48,30.0,20.0,24.0,18.0,3.1128404669260696,10.894941634241247,37.34939759036144,,,,,24.39024390243902,29.268292682926827,21.951219512195124
00500010402003,11433.090384401938,2020.0,281.0,9.0,45.0,1.77,10.78,10.74,151.0,69.0,180.0,88.0,85.0,88.0,85.0,0.0,3.31,45.0,19.0,42.0,52.0,3.2028469750889683,16.014234875444842,45.6953642384106,96.5909090909091,100.0,96.5909090909091,0.0,21.59090909090909,47.72727272727273,59.09090909090909
00500010455007,10883.280757097791,2010.0,182.0,3.0,27.0,2.04,10.5,10.51,90.0,44.0,130.0,50.0,,,,,3.79,33.0,23.0,25.0,18.0,1.6483516483516485,14.835164835164836,48.88888888888889,,,,,46.0,50.0,36.0
