attributes,price,status,adress,link
 200 m² construidos | 3 recs. ,"2,300,000",Casa en venta , Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874769501-casa-guayaquil-41-col-ampliacion-lindavistagustavo-a-madero-_JM#position=1&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 320 m² construidos | 3 recs. ,"8,500,000",Casa en venta , Ambato - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874848918-ambato-lindavista-norte-_JM#position=2&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 278 m² construidos | 4 recs. ,"65,500",Casa en venta , CALLE 625 00 - San Antonio - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873559243-oportunidad-bodega-en-san-juan-de-aragon-_JM#position=3&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 160 m² construidos | 3 recs. ,"1,499,000",Casa en venta , 641 227 - San Juan De Aragón 4a Secc. - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874607020-excelente-oportunidad-que-no-te-la-ganen-bonita-casa-_JM#position=4&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 210 m² construidos | 4 recs. ,"685,000",Casa en venta , CAIRO 303 - Fernando Casas Alemán - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874458761-amplia-casa-excelente-zona-fernando-casas-aleman-_JM#position=5&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 180 m² construidos | 4 recs. ,"4,100,000",Casa en venta , Avenida 414-A 229 - San Juan De Aragón 6a Secc. - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873501679-linda-casa-en-venta-en-el-pueblo-de-san-juan-de-aragon-_JM#position=6&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 250 m² construidos | 3 recs. ,"3,800,000",Casa en venta , Tlacaelel - Santa Isabel Tola - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874416150-casa-venta-santa-isabel-tola-gustavo-a-madero-_JM#position=7&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 509 m² construidos | 5 recs. ,"11,870,000",Casa en venta , Lindavista Norte 0 - Lindavista Norte - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873903924-venta-de-dos-casas-en-el-mismo-predio-en-lindavista--_JM#position=8&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 250 m² construidos | 4 recs. ,"11,400,000",Casa en venta , linares 666 - Lindavista Sur - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873103506-casa-100-habitable-con-roof-garden-_JM#position=9&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 263 m² construidos | 8 recs. ,"3,100,000",Casa en venta , Cerrada Puerto Mazatlán 54 - La Pastora - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-874800142-amplia-casa-en-venta-en-col-la-pastora-_JM#position=10&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
 290 m² construidos | 4 recs. ,"718,794",Casa en venta , faro de Alejandría 00 - Siete Maravillas - Gustavo A. Madero - Distrito Federal ,https://casa.metroscubicos.com/MLM-873547627-amplia-casa-en-remate-col-siete-maravillas-gam-ac-_JM#position=11&type=item&tracking_id=8ca0424f-4e06-4150-addd-f4e8ceb075e0
