,tiempo,nom_ent,mun,loc,ageb,mza,pobtot,p_0a2,p_60ymas,prom_hnv,graproes,graproes_f,pocupada,pocupada_f,pder_ss,vivtot,tvivhab,tvivpar,vivpar_hab,vivpar_ut,prom_ocup,vph_2ymasd,vph_autom,vph_pc,vph_inter,pct_0a2,pct_60,pct_wf,pct_t_inhab_hh,pct_privhh,pct_privhh_inhab,pct_hhtemp,pct_hh_car,pct_hh_pc,pct_hh_int
0,2010,Distrito Federal,5,1,0012,0,4312,212.0,370.0,2.26,8.37,8.13,1658.0,537.0,3214.0,1124,1083.0,1119.0,1078.0,5.0,3.99,598.0,314.0,284.0,182.0,4.916512059369202,8.580705009276437,32.38841978287093,96.35231316725978,99.55516014234875,99.53831948291783,0.4448398576512456,28.99353647276085,26.223453370267773,16.80517082179132
1,2010,Distrito Federal,5,1,0012,1,174,9.0,13.0,2.12,8.92,8.67,67.0,23.0,128.0,43,,,,,4.05,26.0,15.0,12.0,6.0,5.172413793103448,7.471264367816093,34.32835820895522,,,,,,,
2,2010,Distrito Federal,5,1,0012,2,167,5.0,13.0,1.82,8.83,8.49,66.0,20.0,105.0,44,,,,,3.8,23.0,12.0,7.0,5.0,2.9940119760479043,7.784431137724551,30.303030303030305,,,,,,,
3,2010,Distrito Federal,5,1,0012,3,153,8.0,9.0,2.0,8.77,8.78,60.0,19.0,119.0,40,,,,,3.83,21.0,17.0,13.0,11.0,5.228758169934641,5.88235294117647,31.666666666666664,,,,,,,
4,2010,Distrito Federal,5,1,0012,4,128,7.0,12.0,2.47,8.02,7.75,47.0,18.0,101.0,35,,,,,3.76,19.0,8.0,8.0,6.0,5.46875,9.375,38.297872340425535,,,,,,,
5,2010,Distrito Federal,5,1,0012,5,161,13.0,9.0,1.85,8.37,8.02,54.0,16.0,132.0,46,,,,,3.58,16.0,15.0,7.0,,8.074534161490684,5.590062111801243,29.629629629629626,,,,,,,
6,2010,Distrito Federal,5,1,0012,6,145,,23.0,2.39,8.21,8.04,49.0,12.0,121.0,42,,,,,3.72,19.0,8.0,14.0,8.0,,15.862068965517242,24.489795918367346,,,,,,,
7,2010,Distrito Federal,5,1,0012,7,173,10.0,14.0,2.61,7.67,7.24,59.0,14.0,127.0,41,,,,,4.22,25.0,11.0,12.0,6.0,5.780346820809249,8.092485549132949,23.728813559322035,,,,,,,
8,2010,Distrito Federal,5,1,0012,8,75,,9.0,2.9,7.78,7.17,27.0,11.0,51.0,34,,,,,3.41,10.0,6.0,4.0,,,12.0,40.74074074074074,,,,,,,
9,2010,Distrito Federal,5,1,0012,9,32,,3.0,2.08,8.37,9.0,9.0,4.0,24.0,5,,,,,6.4,3.0,0.0,,0.0,,9.375,44.44444444444444,,,,,,,
